BookingID,CustomerID,AgeGroup,Gender,State,City,Airline,Destination,BookingDate,FlightType,TicketPrice,Class,BookingChannel,FrequentFlyer,AffinityIndex
A00076,C00175,25-34,Male,Oregon,Eugene,Alaska Airlines,"Atlanta, GA",2024-11-07,Domestic,735.55,Business,Website,No,164
A00077,C00626,45-54,Female,Texas,Austin,Southwest Airlines,"Chicago, IL",2024-07-12,Domestic,305.96,Premium Economy,Mobile App,No,128
A00078,C00334,18-24,Female,Texas,Austin,Delta Airlines,"Amsterdam, Netherlands",2024-09-09,International,1715.67,Business,Website,No,100
A00079,C00514,25-34,Male,Illinois,Springfield,Delta Airlines,"Toronto, Canada",2024-11-05,International,694.26,Economy,Travel Agency,Yes,183
A00080,C00712,45-54,Female,Illinois,Naperville,Southwest Airlines,"Seattle, WA",2024-11-09,Domestic,556.91,Business,Website,Yes,160
A00081,C00703,65+,Male,California,Los Angeles,Southwest Airlines,"Cozumel, Mexico",2024-08-26,International,1824.84,Business,Mobile App,Yes,158
A00082,C00958,65+,Male,Texas,Austin,United Airlines,"Las Vegas, NV",2024-07-11,Domestic,1424.18,First,Mobile App,No,173
A00083,C00422,18-24,Male,Oregon,Salem,American Airlines,"Atlanta, GA",2024-11-11,Domestic,459.41,Premium Economy,Website,Yes,186
A00084,C00706,25-34,Male,Oregon,Bend,Delta Airlines,"Seattle, WA",2024-05-27,Domestic,428.91,Business,Mobile App,Yes,182
A00085,C00962,18-24,Female,California,Los Angeles,Delta Airlines,"Chicago, IL",2024-07-04,Domestic,336.08,Premium Economy,Mobile App,No,174
A00086,C00539,65+,Male,California,San Francisco,Delta Airlines,"Toronto, Canada",2024-11-08,International,1158.23,Premium Economy,Mobile App,Yes,107
A00087,C00954,18-24,Female,Texas,Austin,American Airlines,"Las Vegas, NV",2024-09-11,Domestic,614.78,Business,Mobile App,No,199
A00088,C00833,35-44,Male,Georgia,Savannah,Southwest Airlines,"Cozumel, Mexico",2024-10-03,International,1166.47,Business,Travel Agency,No,142
A00089,C00939,45-54,Male,Oregon,Eugene,American Airlines,"Toronto, Canada",2024-11-08,International,792.84,Premium Economy,Travel Agency,Yes,187
A00090,C00787,18-24,Male,Georgia,Columbus,United Airlines,"Seattle, WA",2024-06-14,Domestic,1467.52,First,Travel Agency,No,133
A00091,C00797,45-54,Male,California,San Diego,Delta Airlines,"Chicago, IL",2024-05-15,Domestic,186.08,Economy,Website,No,129
A00092,C00524,55-64,Male,Arizona,Tucson,United Airlines,"Miami, FL",2024-09-12,Domestic,305.65,Premium Economy,Travel Agency,No,145
A00093,C00251,65+,Female,California,San Francisco,American Airlines,"Las Vegas, NV",2024-06-27,Domestic,442.87,Business,Travel Agency,Yes,128
A00094,C00782,18-24,Male,California,San Francisco,American Airlines,"Miami, FL",2024-07-08,Domestic,461.92,Premium Economy,Travel Agency,Yes,142
A00095,C00598,45-54,Female,New York,Rochester,Delta Airlines,"Paris, France",2024-10-05,International,4934.57,First,Travel Agency,Yes,116
A00096,C00528,35-44,Male,Georgia,Columbus,Southwest Airlines,"Liberia, Costa Rica",2024-09-30,International,1571.72,Business,Travel Agency,Yes,118
A00097,C00810,55-64,Male,Texas,Austin,Delta Airlines,"Toronto, Canada",2024-10-09,International,1458.25,Business,Website,Yes,117
A00098,C00631,65+,Female,Arizona,Scottsdale,United Airlines,"Tokyo, Japan",2024-06-18,International,1381.58,Business,Mobile App,Yes,192
A00099,C00875,45-54,Female,Oregon,Bend,United Airlines,"Miami, FL",2024-10-14,Domestic,255.99,Economy,Website,Yes,155
A00100,C00794,18-24,Female,Georgia,Columbus,American Airlines,"Chicago, IL",2024-07-11,Domestic,1241.83,First,Mobile App,Yes,163
A00101,C00140,55-64,Female,New York,Albany,United Airlines,"London, UK",2024-10-20,International,636.04,Economy,Website,Yes,184
A00102,C00837,65+,Male,Arizona,Scottsdale,American Airlines,"Toronto, Canada",2024-08-31,International,1571.15,Business,Travel Agency,Yes,190
A00103,C00885,35-44,Female,California,Los Angeles,Alaska Airlines,"Las Vegas, NV",2024-11-07,Domestic,446.42,Premium Economy,Website,No,172
A00104,C00254,25-34,Male,New York,Rochester,Southwest Airlines,"Havana, Cuba",2024-06-08,International,2814.42,First,Mobile App,Yes,190
A00105,C00529,55-64,Female,Texas,San Antonio,Delta Airlines,"Seattle, WA",2024-09-10,Domestic,480.42,Premium Economy,Travel Agency,Yes,150
A00106,C00061,18-24,Female,Florida,Orlando,United Airlines,"Atlanta, GA",2024-06-08,Domestic,144.1,Economy,Travel Agency,No,100
A00107,C00392,55-64,Male,Florida,Tampa,United Airlines,"London, UK",2024-07-16,International,1756.25,Business,Website,No,131
A00108,C00635,18-24,Male,Oregon,Bend,American Airlines,"Miami, FL",2024-10-25,Domestic,1243.19,First,Mobile App,No,132
A00109,C00173,55-64,Female,Illinois,Chicago,Delta Airlines,"Miami, FL",2024-09-20,Domestic,549.24,Business,Website,No,196
A00110,C00381,65+,Male,Florida,Miami,United Airlines,"Paris, France",2024-07-12,International,2199.92,First,Mobile App,Yes,102
A00111,C00052,65+,Female,California,San Diego,Delta Airlines,"Chicago, IL",2024-08-10,Domestic,537.87,Business,Mobile App,No,109
A00112,C00448,55-64,Female,New York,Buffalo,Delta Airlines,"London, UK",2024-08-26,International,1002.14,Premium Economy,Mobile App,No,123
A00113,C00881,18-24,Female,Texas,Dallas,American Airlines,"Las Vegas, NV",2024-07-06,Domestic,430.33,Premium Economy,Travel Agency,Yes,149
A00114,C00436,25-34,Female,New York,New York City,American Airlines,"Toronto, Canada",2024-06-18,International,2064.07,Business,Mobile App,No,171
A00115,C00756,55-64,Female,Illinois,Chicago,Delta Airlines,"Toronto, Canada",2024-10-22,International,1053.11,Premium Economy,Website,No,175
A00116,C00924,35-44,Female,Oregon,Eugene,American Airlines,"Mexico City, Mexico",2024-09-11,International,4583.76,First,Travel Agency,No,163
A00117,C00542,35-44,Female,Arizona,Phoenix,Alaska Airlines,"Atlanta, GA",2024-07-25,Domestic,531.45,Business,Website,Yes,167
A00118,C00515,25-34,Male,Oregon,Eugene,Delta Airlines,"Atlanta, GA",2024-05-23,Domestic,235.15,Economy,Mobile App,No,156
A00119,C00624,45-54,Male,California,San Francisco,Delta Airlines,"Seattle, WA",2024-09-01,Domestic,162.05,Economy,Website,Yes,184
A00120,C00943,65+,Male,New York,Albany,Delta Airlines,"Tokyo, Japan",2024-06-06,International,1954.57,Business,Website,No,147
A00121,C00018,65+,Male,California,San Diego,Delta Airlines,"London, UK",2024-10-17,International,768.03,Economy,Mobile App,No,171
A00122,C00252,25-34,Female,Arizona,Phoenix,Alaska Airlines,"Chicago, IL",2024-08-24,Domestic,372.28,Premium Economy,Travel Agency,Yes,171
A00123,C00809,35-44,Female,Arizona,Tucson,Southwest Airlines,"Cozumel, Mexico",2024-09-27,International,2060.19,First,Website,Yes,153
A00124,C00559,18-24,Male,Georgia,Savannah,Alaska Airlines,"Chicago, IL",2024-08-19,Domestic,358.46,Premium Economy,Website,Yes,130
A00125,C00826,18-24,Male,Georgia,Augusta,Delta Airlines,"Amsterdam, Netherlands",2024-08-24,International,1112.7,Premium Economy,Website,No,136
A00126,C00704,55-64,Male,California,San Jose,American Airlines,"Miami, FL",2024-06-26,Domestic,729.51,Business,Mobile App,No,199
A00127,C00346,45-54,Female,Texas,Houston,United Airlines,"Toronto, Canada",2024-11-05,International,4402.38,First,Website,No,199
A00128,C00396,65+,Male,Arizona,Tucson,Alaska Airlines,"Seattle, WA",2024-05-18,Domestic,785.26,Business,Travel Agency,No,146
A00129,C00702,35-44,Female,Illinois,Springfield,United Airlines,"Las Vegas, NV",2024-09-03,Domestic,224.21,Economy,Website,Yes,171
A00130,C00074,65+,Female,Texas,Dallas,Southwest Airlines,"Grand Cayman, Cayman Islands",2024-08-03,International,641.33,Economy,Website,No,112
A00131,C00129,55-64,Female,Georgia,Augusta,American Airlines,"Seattle, WA",2024-07-28,Domestic,114.44,Economy,Website,No,107
A00132,C00399,35-44,Female,Arizona,Flagstaff,Southwest Airlines,"Grand Cayman, Cayman Islands",2024-09-22,International,1035.92,Premium Economy,Travel Agency,Yes,138
A00133,C00099,55-64,Female,Illinois,Naperville,American Airlines,"Atlanta, GA",2024-06-14,Domestic,537.12,Business,Travel Agency,No,149
A00134,C00172,45-54,Male,Texas,Austin,American Airlines,"Atlanta, GA",2024-09-15,Domestic,453.07,Premium Economy,Travel Agency,No,194
A00135,C00971,65+,Female,Florida,Miami,Southwest Airlines,"Havana, Cuba",2024-09-15,International,892.92,Premium Economy,Mobile App,Yes,100
A00136,C00952,65+,Female,Florida,Orlando,American Airlines,"Toronto, Canada",2024-07-18,International,2260.34,Business,Travel Agency,Yes,166
A00137,C00070,45-54,Female,Arizona,Flagstaff,Delta Airlines,"Miami, FL",2024-09-18,Domestic,280.23,Economy,Website,No,164
A00138,C00880,55-64,Female,California,San Diego,United Airlines,"Tokyo, Japan",2024-06-11,International,708.38,Economy,Travel Agency,Yes,147
A00139,C00065,18-24,Male,California,San Jose,American Airlines,"Atlanta, GA",2024-11-04,Domestic,205.65,Economy,Website,No,111
A00140,C00418,55-64,Male,California,San Jose,Delta Airlines,"Chicago, IL",2024-05-23,Domestic,493.23,Business,Travel Agency,Yes,197
A00141,C00865,65+,Female,New York,Albany,Southwest Airlines,"Montego Bay, Jamaica",2024-08-05,International,4060.03,First,Mobile App,No,165
A00142,C00643,25-34,Female,Illinois,Chicago,United Airlines,"Tokyo, Japan",2024-06-14,International,2019.12,Business,Website,No,197
A00143,C00593,25-34,Female,Oregon,Bend,Alaska Airlines,"Chicago, IL",2024-05-22,Domestic,1264.87,First,Mobile App,Yes,192
A00144,C00888,35-44,Male,Arizona,Flagstaff,Alaska Airlines,"Vancouver, Canada",2024-07-17,International,4973.32,First,Travel Agency,No,105
A00145,C00300,55-64,Male,Florida,Miami,Alaska Airlines,"Vancouver, Canada",2024-08-19,International,1062.15,Premium Economy,Mobile App,Yes,138
A00146,C00863,25-34,Male,Texas,Austin,Southwest Airlines,"Seattle, WA",2024-09-02,Domestic,116.58,Economy,Mobile App,No,149
A00147,C00201,65+,Male,Arizona,Phoenix,United Airlines,"Seattle, WA",2024-10-14,Domestic,167.21,Economy,Website,No,165
A00148,C00567,25-34,Male,Oregon,Bend,American Airlines,"Miami, FL",2024-06-07,Domestic,441.18,Business,Travel Agency,No,134
A00149,C00190,55-64,Female,New York,New York City,Alaska Airlines,"Las Vegas, NV",2024-06-25,Domestic,658.87,Business,Mobile App,No,180
A00150,C00661,25-34,Female,Georgia,Augusta,Southwest Airlines,"San Juan, Puerto Rico",2024-10-09,International,4403.91,First,Mobile App,Yes,140
A00151,C00210,55-64,Female,Georgia,Savannah,United Airlines,"Las Vegas, NV",2024-11-08,Domestic,999.47,First,Website,No,139
A00152,C00053,45-54,Female,Georgia,Savannah,Alaska Airlines,"Chicago, IL",2024-10-27,Domestic,342.34,Premium Economy,Travel Agency,No,187
A00153,C00781,65+,Male,Oregon,Eugene,United Airlines,"London, UK",2024-05-15,International,1127.11,Business,Website,No,156
A00154,C00180,45-54,Male,Texas,Austin,Southwest Airlines,"Nassau, Bahamas",2024-10-27,International,879.96,Premium Economy,Website,No,134
A00155,C00199,25-34,Female,Illinois,Naperville,American Airlines,"Chicago, IL",2024-10-27,Domestic,1376.04,First,Website,No,170
A00156,C00581,55-64,Female,Arizona,Flagstaff,Southwest Airlines,"Nassau, Bahamas",2024-10-04,International,2102.32,First,Travel Agency,Yes,198
A00157,C00059,25-34,Female,Arizona,Flagstaff,United Airlines,"Toronto, Canada",2024-09-11,International,4841.93,First,Website,No,100
A00158,C00290,45-54,Male,California,San Francisco,United Airlines,"Paris, France",2024-08-25,International,4365.53,First,Mobile App,Yes,196
A00159,C00855,25-34,Female,Arizona,Scottsdale,Delta Airlines,"Paris, France",2024-09-22,International,693.37,Economy,Website,No,106
A00160,C00726,55-64,Male,Illinois,Aurora,Alaska Airlines,"Vancouver, Canada",2024-06-05,International,467.34,Economy,Mobile App,Yes,106
A00161,C00291,18-24,Male,Florida,Tampa,Southwest Airlines,"Montego Bay, Jamaica",2024-09-03,International,3506.1,First,Website,Yes,135
A00162,C00216,18-24,Male,Texas,San Antonio,Southwest Airlines,"Cancun, Mexico",2024-08-12,International,2057.03,Business,Website,No,168
A00163,C00176,25-34,Female,New York,Rochester,Delta Airlines,"Tokyo, Japan",2024-11-11,International,4452.45,First,Travel Agency,No,119
A00164,C00045,55-64,Female,Texas,Houston,American Airlines,"London, UK",2024-09-14,International,1178.31,Premium Economy,Mobile App,No,195
A00165,C00761,45-54,Male,Oregon,Bend,Alaska Airlines,"Las Vegas, NV",2024-10-22,Domestic,425.28,Premium Economy,Website,Yes,133
A00166,C00118,35-44,Male,Texas,San Antonio,American Airlines,"Atlanta, GA",2024-06-15,Domestic,221.83,Economy,Mobile App,No,155
A00167,C00163,45-54,Male,Illinois,Naperville,Southwest Airlines,"Belize City, Belize",2024-06-16,International,684.96,Economy,Mobile App,No,200
A00168,C00546,25-34,Female,Oregon,Salem,American Airlines,"Las Vegas, NV",2024-10-28,Domestic,603.34,Business,Mobile App,Yes,117
A00169,C00534,35-44,Female,Oregon,Bend,Southwest Airlines,"Havana, Cuba",2024-05-27,International,1085.86,Premium Economy,Website,No,132
A00170,C00650,65+,Male,Texas,Dallas,Southwest Airlines,"Nassau, Bahamas",2024-10-07,International,1756.92,Business,Mobile App,Yes,145
A00171,C00206,45-54,Male,Oregon,Portland,Delta Airlines,"Tokyo, Japan",2024-09-14,International,2817.47,First,Travel Agency,Yes,175
A00172,C00148,18-24,Female,New York,Buffalo,United Airlines,"Miami, FL",2024-07-27,Domestic,1159.12,First,Travel Agency,No,145
A00173,C00171,35-44,Female,New York,Albany,United Airlines,"Miami, FL",2024-10-27,Domestic,139.24,Economy,Travel Agency,Yes,172
A00174,C00323,55-64,Male,California,San Diego,United Airlines,"London, UK",2024-08-12,International,3900.31,First,Mobile App,No,197
A00175,C00465,55-64,Male,Arizona,Tucson,Delta Airlines,"Seattle, WA",2024-05-21,Domestic,509.5,Business,Travel Agency,Yes,131
A00176,C00234,65+,Female,Illinois,Chicago,Alaska Airlines,"Atlanta, GA",2024-06-15,Domestic,1432.85,First,Travel Agency,Yes,131
A00177,C00548,18-24,Male,Arizona,Flagstaff,Alaska Airlines,"Chicago, IL",2024-08-17,Domestic,295.29,Premium Economy,Mobile App,No,143
A00178,C00170,25-34,Female,Arizona,Tucson,Southwest Airlines,"Grand Cayman, Cayman Islands",2024-07-04,International,544.19,Economy,Website,Yes,151
A00179,C00442,65+,Female,Florida,Miami,United Airlines,"Frankfurt, Germany",2024-10-27,International,930.62,Premium Economy,Mobile App,Yes,157
A00180,C00129,55-64,Female,Georgia,Augusta,Delta Airlines,"Las Vegas, NV",2024-07-21,Domestic,1027.55,First,Travel Agency,No,191
A00181,C00369,55-64,Male,California,Los Angeles,American Airlines,"Mexico City, Mexico",2024-10-02,International,4635.35,First,Travel Agency,Yes,140
A00182,C00797,45-54,Male,California,San Diego,United Airlines,"Las Vegas, NV",2024-06-12,Domestic,335.46,Premium Economy,Travel Agency,No,118
A00183,C00750,55-64,Male,Georgia,Atlanta,Alaska Airlines,"Miami, FL",2024-10-24,Domestic,1335.76,First,Website,No,139
A00184,C00752,18-24,Male,New York,Albany,United Airlines,"Seattle, WA",2024-06-06,Domestic,1394.46,First,Website,No,128
A00185,C00760,25-34,Female,Arizona,Tucson,Delta Airlines,"Atlanta, GA",2024-09-24,Domestic,479.07,Premium Economy,Mobile App,No,114
A00186,C00245,45-54,Female,Illinois,Chicago,United Airlines,"Toronto, Canada",2024-06-12,International,2201.43,First,Website,No,158
A00187,C00752,18-24,Male,New York,Albany,Alaska Airlines,"Toronto, Canada",2024-11-06,International,1766.48,Business,Website,No,153
A00188,C00260,45-54,Male,California,Los Angeles,American Airlines,"Toronto, Canada",2024-08-30,International,2147.63,Business,Travel Agency,Yes,193
A00189,C00886,35-44,Male,New York,Rochester,United Airlines,"Frankfurt, Germany",2024-09-22,International,1783.51,Business,Mobile App,Yes,104
A00190,C00765,18-24,Male,Florida,Orlando,Alaska Airlines,"Miami, FL",2024-08-01,Domestic,495.02,Premium Economy,Mobile App,Yes,112
A00191,C00144,35-44,Female,Arizona,Tucson,Alaska Airlines,"Miami, FL",2024-07-03,Domestic,997.9,First,Mobile App,Yes,196
A00192,C00077,35-44,Male,New York,New York City,Alaska Airlines,"Chicago, IL",2024-07-26,Domestic,1464.21,First,Mobile App,No,108
A00193,C00727,35-44,Female,California,San Francisco,Delta Airlines,"Tokyo, Japan",2024-05-16,International,2361.28,First,Travel Agency,Yes,125
A00194,C00220,45-54,Female,Illinois,Aurora,American Airlines,"Chicago, IL",2024-08-03,Domestic,486.04,Business,Travel Agency,Yes,130
A00195,C00207,65+,Female,Texas,Dallas,Alaska Airlines,"Las Vegas, NV",2024-05-22,Domestic,1109.6,First,Mobile App,Yes,192
